,Week_end,Responses,Self_Report,Other_Report,Vaccinated_Respondents,Total_Respondents,Total_Clinical_Staff,Clinical_Staff_Vaccinated,ILI_Vaccinated,ILI_Unvaccinated,ILI_wAbsence_Vaccinated,ILI_wAbsence_Unvaccinated
101,24-Aug-14,16236,10086,6150,9466,16236,3178,2499,430.0%,500.0%,280.0%,350.0%
102,31-Aug-14,15918,9930,5988,9326,15918,3118,2442,400.0%,420.0%,270.0%,270.0%
103,07-Sep-14,15771,9861,5910,9244,15771,3132,2445,330.0%,390.0%,210.0%,280.0%
104,14-Sep-14,15675,9775,5900,9201,15675,3115,2455,350.0%,350.0%,220.0%,230.0%
105,21-Sep-14,15310,9619,5691,9018,15310,3054,2395,240.0%,310.0%,140.0%,210.0%
106,28-Sep-14,14907,9423,5484,8838,14907,3030,2367,220.0%,230.0%,120.0%,150.0%
107,05-Oct-14,15023,9495,5528,8857,15023,2995,2348,200.0%,200.0%,100.0%,90.0%
108,12-Oct-14,15489,9713,5776,9131,15489,3050,2388,170.0%,140.0%,100.0%,70.0%
109,19-Oct-14,15653,9686,5967,9163,15653,3142,2470,150.0%,140.0%,80.0%,80.0%
110,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
111,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
112,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
113,10-May-15,20679,12652,8027,9970,20679,4104,2711,190.0%,260.0%,100.0%,160.0%
114,17-May-15,20951,12806,8145,11142,20951,4205,3046,220.0%,290.0%,130.0%,180.0%
115,24-May-15,21846,13309,8537,12231,21846,4487,3407,230.0%,320.0%,140.0%,180.0%
116,31-May-15,21654,13244,8410,12489,21654,4461,3433,270.0%,340.0%,160.0%,210.0%
117,07-Jun-15,21298,13106,8192,12523,21298,4428,3476,270.0%,320.0%,150.0%,190.0%
118,14-Jun-15,21739,13346,8393,12946,21739,4496,3574,250.0%,300.0%,140.0%,180.0%
119,21-Jun-15,21553,13228,8325,12897,21553,4452,3541,260.0%,300.0%,160.0%,170.0%
120,28-Jun-15,21019,12982,8037,12769,21019,4345,3485,260.0%,330.0%,160.0%,200.0%
121,05-Jul-15,20352,12658,7694,12500,20352,4228,3390,280.0%,290.0%,180.0%,160.0%
122,12-Jul-15,20690,12826,7864,12746,20690,4289,3446,260.0%,320.0%,180.0%,190.0%
123,19-Jul-15,21231,13061,8170,13093,21231,4369,3527,250.0%,290.0%,160.0%,160.0%
124,26-Jul-15,21333,13099,8234,13214,21333,4385,3540,250.0%,320.0%,160.0%,210.0%
125,02-Aug-15,21194,12995,8199,13072,21194,4353,3508,280.0%,390.0%,190.0%,260.0%
126,09-Aug-15,21110,12979,8131,13072,21110,4381,3511,320.0%,400.0%,200.0%,260.0%
127,16-Aug-15,21131,13003,8128,13146,21131,4401,3567,360.0%,490.0%,240.0%,360.0%
128,23-Aug-15,21022,12938,8084,13044,21022,4351,3525,380.0%,500.0%,250.0%,360.0%
129,30-Aug-15,20868,12840,8028,12987,20868,4294,3489,330.0%,470.0%,220.0%,330.0%
130,06-Sep-15,20702,12751,7951,12914,20702,4245,3455,350.0%,440.0%,220.0%,310.0%
131,13-Sep-15,20518,12666,7852,12827,20518,4240,3438,330.0%,380.0%,210.0%,240.0%
132,20-Sep-15,19832,12309,7523,12506,19832,4112,3337,260.0%,340.0%,160.0%,230.0%
133,27-Sep-15,19424,12065,7359,12249,19424,4065,3306,220.0%,280.0%,130.0%,170.0%
134,04-Oct-15,19467,12093,7374,12266,19467,4066,3280,190.0%,210.0%,120.0%,120.0%
135,11-Oct-15,20198,12440,7758,12667,20198,4192,3392,190.0%,140.0%,120.0%,90.0%
136,18-Oct-15,20382,12500,7882,12756,20382,4188,3413,1.5%,1.5%,0.9%,0.9%
137,01-May-16,20280,12347,7933,8045,20280,3942,2310,1.7%,2.4%,1.0%,1.3%
138,08-May-16,22057,13290,8767,8829,22057,4276,2543,1.4%,1.6%,1.1%,1.1%
139,15-May-16,22856,13749,9107,9206,22856,4413,2629,2.0%,1.9%,1.5%,1.4%
140,22-May-16,22888,13820,9068,10664,22888,4442,2964,1.7%,2.2%,1.5%,1.7%
141,29-May-16,23130,13899,9231,11798,23130,4483,3208,1.8%,2.5%,1.1%,1.5%
142,05-Jun-16,22928,13809,9119,13218,22928,4447,3473,1.9%,2.3%,1.3%,1.5%
143,12-Jun-16,22451,13570,8881,13198,22451,4375,3452,1.8%,2.3%,1.0%,1.3%
144,19-Jun-16,22846,13796,9050,13524,22846,4479,3550,2.0%,2.0%,1.3%,1.3%
145,26-Jun-16,22476,13639,8837,13465,22476,4441,3545,1.7%,2.0%,1.1%,1.4%
146,03-Jul-16,22704,13751,8953,13528,22704,4450,3528,2.0%,2.5%,1.3%,1.6%
147,10-Jul-16,22463,13679,8784,13513,22463,4364,3484,2.1%,2.1%,1.4%,1.5%
148,17-Jul-16,22998,13905,9093,13761,22998,4488,3579,2.2%,2.0%,1.5%,1.3%
149,24-Jul-16,23174,14014,9160,13916,23174,4531,3604,1.9%,2.3%,1.3%,1.5%
150,31-Jul-16,23285,14048,9237,13941,23285,4562,3631,2.1%,2.6%,1.4%,1.8%
151,07-Aug-16,23220,14005,9215,13993,23220,4545,3651,2.0%,2.7%,1.5%,2.0%
152,14-Aug-16,23204,14010,9194,14012,23204,4547,3647,2.3%,3.2%,1.7%,2.3%
153,21-Aug-16,23075,13930,9145,13990,23075,4518,3631,2.3%,3.1%,1.8%,2.3%
154,28-Aug-16,23026,13891,9135,13976,23026,4513,3639,2.5%,3.1%,1.7%,2.2%
155,04-Sep-16,22568,13615,8953,13684,22568,4426,3563,2.4%,3.0%,1.8%,2.2%
156,11-Sep-16,22649,13649,9000,13672,22649,4430,3541,2.3%,2.9%,1.6%,2.2%
157,18-Sep-16,22289,13496,8793,13565,22289,4364,3523,2.1%,2.5%,1.6%,1.8%
158,25-Sep-16,21289,13033,8256,13054,21289,4210,3395,1.8%,2.2%,1.3%,1.6%
159,02-Oct-16,21462,13073,8389,13154,21462,4214,3395,1.8%,2.0%,1.4%,1.4%
160,09-Oct-16,22046,13396,8650,13396,22046,4319,3478,1.7%,1.6%,1.2%,1.1%
